Sourcefile	20241002 161941 XenonTPDPlat.qmp
Exporttime	02.10.2024 16:47:04

Start Time	02.10.2024 16:43:13
End Time	02.10.2024 16:45:45

		Xe-132			Xe-131			Xe-129			Temp voltage	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Temp [Kelvin]	
02.10.2024 16:43:13	0,000	3,971428e-015	02.10.2024 16:43:13	0,079	1,900546e-012	02.10.2024 16:43:13	0,158	-2,264071e-015	02.10.2024 16:43:13	0,238	4,583331e001
02.10.2024 16:43:13	0,325	-6,823922e-014	02.10.2024 16:43:13	0,409	-6,715971e-014	02.10.2024 16:43:14	0,488	1,621993e-014	02.10.2024 16:43:14	0,568	4,611897e001
02.10.2024 16:43:14	0,647	7,182576e-015	02.10.2024 16:43:14	0,726	-1,182930e-013	02.10.2024 16:43:14	0,805	2,039918e-013	02.10.2024 16:43:14	0,885	4,596027e001
02.10.2024 16:43:14	0,964	-3,230679e-015	02.10.2024 16:43:14	1,043	3,405167e-014	02.10.2024 16:43:14	1,124	1,247375e-014	02.10.2024 16:43:14	1,203	4,608724e001
02.10.2024 16:43:14	1,282	1,251801e-014	02.10.2024 16:43:14	1,363	1,585210e-013	02.10.2024 16:43:14	1,449	1,011259e-013	02.10.2024 16:43:15	1,528	4,583331e001
02.10.2024 16:43:15	1,606	1,976926e-014	02.10.2024 16:43:15	1,685	3,096079e-014	02.10.2024 16:43:15	1,765	-1,262999e-013	02.10.2024 16:43:15	1,845	4,592853e001
02.10.2024 16:43:15	1,924	1,277924e-015	02.10.2024 16:43:15	2,005	1,160258e-012	02.10.2024 16:43:15	2,084	1,681317e-013	02.10.2024 16:43:15	2,163	4,596027e001
02.10.2024 16:43:15	2,243	1,093975e-013	02.10.2024 16:43:15	2,334	5,739839e-013	02.10.2024 16:43:15	2,413	-6,484251e-014	02.10.2024 16:43:16	2,492	4,538894e001
02.10.2024 16:43:16	2,571	4,124953e-015	02.10.2024 16:43:16	2,654	1,543240e-012	02.10.2024 16:43:16	2,734	-1,417730e-013	02.10.2024 16:43:16	2,813	4,608724e001
02.10.2024 16:43:16	2,891	1,969875e-014	02.10.2024 16:43:16	2,975	2,298423e-012	02.10.2024 16:43:16	3,053	1,720793e-015	02.10.2024 16:43:16	3,132	4,548416e001
02.10.2024 16:43:16	3,211	-1,514773e-015	02.10.2024 16:43:16	3,290	3,796633e-013	02.10.2024 16:43:16	3,370	-1,162573e-013	02.10.2024 16:43:16	3,456	4,583331e001
02.10.2024 16:43:17	3,535	-1,351786e-015	02.10.2024 16:43:17	3,614	1,153409e-012	02.10.2024 16:43:17	3,696	4,715599e-014	02.10.2024 16:43:17	3,776	4,557939e001
02.10.2024 16:43:17	3,854	7,760652e-015	02.10.2024 16:43:17	3,935	3,350639e-012	02.10.2024 16:43:17	4,014	1,031675e-012	02.10.2024 16:43:17	4,096	4,605549e001
02.10.2024 16:43:17	4,174	3,487638e-014	02.10.2024 16:43:17	4,254	1,162764e-012	02.10.2024 16:43:17	4,335	2,940422e-015	02.10.2024 16:43:17	4,415	4,561113e001
02.10.2024 16:43:18	4,493	-1,010865e-014	02.10.2024 16:43:18	4,575	1,752501e-012	02.10.2024 16:43:18	4,655	-5,384966e-014	02.10.2024 16:43:18	4,733	4,576983e001
02.10.2024 16:43:18	4,813	1,156018e-013	02.10.2024 16:43:18	4,895	1,609584e-012	02.10.2024 16:43:18	4,980	-7,763300e-014	02.10.2024 16:43:18	5,060	4,621420e001
02.10.2024 16:43:18	5,138	1,268740e-014	02.10.2024 16:43:18	5,221	-4,713775e-014	02.10.2024 16:43:18	5,300	-6,921106e-014	02.10.2024 16:43:18	5,386	4,548416e001
02.10.2024 16:43:18	5,466	1,067147e-013	02.10.2024 16:43:19	5,547	5,857348e-015	02.10.2024 16:43:19	5,630	1,241329e-012	02.10.2024 16:43:19	5,710	4,586505e001
02.10.2024 16:43:19	5,789	6,607553e-015	02.10.2024 16:43:19	5,871	-1,380453e-014	02.10.2024 16:43:19	5,951	-1,225125e-015	02.10.2024 16:43:19	6,038	4,589679e001
02.10.2024 16:43:19	6,117	1,568154e-014	02.10.2024 16:43:19	6,199	2,202787e-012	02.10.2024 16:43:19	6,278	3,477079e-013	02.10.2024 16:43:19	6,358	4,570635e001
02.10.2024 16:43:19	6,443	-2,157244e-015	02.10.2024 16:43:20	6,526	1,599490e-012	02.10.2024 16:43:20	6,606	8,023111e-014	02.10.2024 16:43:20	6,685	4,627768e001
