Sourcefile	20240911 121833 XenonTPDPlat.qmp
Exporttime	11.09.2024 12:37:20

Start Time	11.09.2024 12:34:42
End Time	11.09.2024 12:37:11

		Xe-132			Xe-131			Xe-129			Temp voltage	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Temp [Kelvin]	
11.09.2024 12:34:42	0,000	1,149393e-013	11.09.2024 12:34:42	0,083	-4,673330e-014	11.09.2024 12:34:42	0,163	4,073217e-014	11.09.2024 12:34:42	0,242	5,107049e001
11.09.2024 12:34:42	0,321	1,870803e-014	11.09.2024 12:34:42	0,403	9,879932e-014	11.09.2024 12:34:43	0,483	-4,753206e-014	11.09.2024 12:34:43	0,561	5,100701e001
11.09.2024 12:34:43	0,641	1,398975e-014	11.09.2024 12:34:43	0,722	-1,194179e-014	11.09.2024 12:34:43	0,802	-2,133989e-014	11.09.2024 12:34:43	0,880	5,138790e001
11.09.2024 12:34:43	0,961	7,211059e-014	11.09.2024 12:34:43	1,041	2,296672e-013	11.09.2024 12:34:43	1,121	1,374032e-013	11.09.2024 12:34:43	1,199	5,100701e001
11.09.2024 12:34:43	1,279	-2,094982e-014	11.09.2024 12:34:43	1,358	-8,217868e-014	11.09.2024 12:34:43	1,438	-9,131884e-014	11.09.2024 12:34:44	1,515	5,081657e001
11.09.2024 12:34:44	1,594	1,931847e-014	11.09.2024 12:34:44	1,674	2,013634e-013	11.09.2024 12:34:44	1,754	1,748108e-014	11.09.2024 12:34:44	1,832	5,103875e001
11.09.2024 12:34:44	1,913	-7,228666e-014	11.09.2024 12:34:44	1,995	1,126575e-013	11.09.2024 12:34:44	2,074	-3,809036e-016	11.09.2024 12:34:44	2,152	5,065787e001
11.09.2024 12:34:44	2,233	6,953668e-015	11.09.2024 12:34:44	2,313	1,791035e-013	11.09.2024 12:34:44	2,393	2,141987e-015	11.09.2024 12:34:45	2,472	5,100701e001
11.09.2024 12:34:45	2,556	2,291539e-013	11.09.2024 12:34:45	2,635	-3,790195e-014	11.09.2024 12:34:45	2,714	7,239011e-014	11.09.2024 12:34:45	2,792	5,100701e001
11.09.2024 12:34:45	2,872	5,779300e-014	11.09.2024 12:34:45	2,952	5,912093e-014	11.09.2024 12:34:45	3,031	-7,009278e-014	11.09.2024 12:34:45	3,110	5,100701e001
11.09.2024 12:34:45	3,196	1,657917e-015	11.09.2024 12:34:45	3,280	9,275917e-014	11.09.2024 12:34:45	3,365	-1,166249e-014	11.09.2024 12:34:46	3,444	5,088005e001
11.09.2024 12:34:46	3,524	-6,605732e-015	11.09.2024 12:34:46	3,603	-6,946617e-014	11.09.2024 12:34:46	3,683	2,221902e-013	11.09.2024 12:34:46	3,763	5,094354e001
11.09.2024 12:34:46	3,843	6,711650e-016	11.09.2024 12:34:46	3,921	1,059126e-012	11.09.2024 12:34:46	4,000	-8,966124e-014	11.09.2024 12:34:46	4,079	5,088005e001
11.09.2024 12:34:46	4,159	-2,941341e-015	11.09.2024 12:34:46	4,239	-1,601698e-014	11.09.2024 12:34:46	4,318	4,712485e-016	11.09.2024 12:34:46	4,400	5,091180e001
11.09.2024 12:34:47	4,481	2,279256e-013	11.09.2024 12:34:47	4,560	1,819857e-013	11.09.2024 12:34:47	4,644	-1,661732e-014	11.09.2024 12:34:47	4,725	5,113398e001
11.09.2024 12:34:47	4,807	8,770296e-015	11.09.2024 12:34:47	4,886	1,145767e-015	11.09.2024 12:34:47	4,965	2,592479e-015	11.09.2024 12:34:47	5,049	5,119746e001
11.09.2024 12:34:47	5,129	5,269930e-014	11.09.2024 12:34:47	5,208	-5,978756e-014	11.09.2024 12:34:47	5,287	1,740934e-014	11.09.2024 12:34:47	5,365	5,141964e001
11.09.2024 12:34:48	5,445	9,505581e-014	11.09.2024 12:34:48	5,524	1,612930e-013	11.09.2024 12:34:48	5,603	1,305110e-013	11.09.2024 12:34:48	5,683	5,122920e001
11.09.2024 12:34:48	5,763	-4,119153e-015	11.09.2024 12:34:48	5,843	1,462120e-012	11.09.2024 12:34:48	5,922	1,076822e-014	11.09.2024 12:34:48	6,001	5,094354e001
11.09.2024 12:34:48	6,081	-3,135757e-015	11.09.2024 12:34:48	6,164	9,401659e-013	11.09.2024 12:34:48	6,243	-7,816901e-014	11.09.2024 12:34:48	6,322	5,107049e001
11.09.2024 12:34:48	6,401	1,121911e-013	11.09.2024 12:34:49	6,480	-2,199669e-014	11.09.2024 12:34:49	6,560	1,885179e-014	11.09.2024 12:34:49	6,639	5,094354e001
11.09.2024 12:34:49	6,719	3,043279e-015	11.09.2024 12:34:49	6,801	-1,724335e-013	11.09.2024 12:34:49	6,880	3,167806e-015	11.09.2024 12:34:49	6,960	5,110224e001
11.09.2024 12:34:49	7,040	1,388414e-014	11.09.2024 12:34:49	7,119	-5,574631e-014	11.09.2024 12:34:49	7,199	1,021823e-013	11.09.2024 12:34:49	7,278	5,113398e001
11.09.2024 12:34:49	7,358	6,921927e-015	11.09.2024 12:34:50	7,447	2,699998e-013	11.09.2024 12:34:50	7,527	-8,862474e-015	11.09.2024 12:34:50	7,605	5,097528e001
11.09.2024 12:34:50	7,684	1,119003e-014	11.09.2024 12:34:50	7,763	-4,143634e-014	11.09.2024 12:34:50	7,845	-5,375534e-014	11.09.2024 12:34:50	7,924	5,097528e001
11.09.2024 12:34:50	8,003	-6,031311e-015	11.09.2024 12:34:50	8,082	-7,335925e-014	11.09.2024 12:34:50	8,161	1,762297e-015	11.09.2024 12:34:50	8,240	5,129268e001
11.09.2024 12:34:50	8,319	1,002136e-014	11.09.2024 12:34:50	8,401	4,693016e-013	11.09.2024 12:34:51	8,481	2,028577e-013	11.09.2024 12:34:51	8,559	5,122920e001
11.09.2024 12:34:51	8,639	1,137596e-013	11.09.2024 12:34:51	8,718	-1,100940e-013	11.09.2024 12:34:51	8,797	1,037541e-014	11.09.2024 12:34:51	8,880	5,116572e001
11.09.2024 12:34:51	8,959	-6,951836e-015	11.09.2024 12:34:51	9,038	-9,796732e-014	11.09.2024 12:34:51	9,117	1,287175e-014	11.09.2024 12:34:51	9,195	5,132442e001
11.09.2024 12:34:51	9,275	9,282719e-014	11.09.2024 12:34:51	9,362	4,045662e-013	11.09.2024 12:34:51	9,441	1,363738e-013	11.09.2024 12:34:52	9,523	5,116572e001
11.09.2024 12:34:52	9,602	1,213313e-014	11.09.2024 12:34:52	9,686	1,505160e-012	11.09.2024 12:34:52	9,765	-6,199365e-014	11.09.2024 12:34:52	9,843	5,116572e001
11.09.2024 12:34:52	9,922	-4,252225e-015	11.09.2024 12:34:52	10,003	1,884020e-014	11.09.2024 12:34:52	10,082	7,419212e-014	11.09.2024 12:34:52	10,160	5,116572e001
11.09.2024 12:34:52	10,239	1,220364e-014	11.09.2024 12:34:52	10,319	3,791722e-014	11.09.2024 12:34:52	10,399	2,469783e-015	11.09.2024 12:34:53	10,478	5,078483e001
11.09.2024 12:34:53	10,558	5,713280e-015	11.09.2024 12:34:53	10,636	1,136059e-012	11.09.2024 12:34:53	10,716	1,983274e-015	11.09.2024 12:34:53	10,795	5,135616e001
11.09.2024 12:34:53	10,875	1,075235e-014	11.09.2024 12:34:53	10,954	2,641570e-013	11.09.2024 12:34:53	11,034	-7,704799e-014	11.09.2024 12:34:53	11,113	5,068961e001
11.09.2024 12:34:53	11,192	1,386284e-013	11.09.2024 12:34:53	11,279	3,478788e-013	11.09.2024 12:34:53	11,358	2,124814e-013	11.09.2024 12:34:53	11,436	5,148312e001
11.09.2024 12:34:54	11,515	-6,243324e-014	11.09.2024 12:34:54	11,596	-4,581863e-015	11.09.2024 12:34:54	11,682	-6,531773e-017	11.09.2024 12:34:54	11,759	5,065787e001
11.09.2024 12:34:54	11,840	-1,788671e-014	11.09.2024 12:34:54	11,925	8,268101e-013	11.09.2024 12:34:54	12,004	2,487722e-013	11.09.2024 12:34:54	12,082	5,110224e001
11.09.2024 12:34:54	12,162	1,062135e-016	11.09.2024 12:34:54	12,250	-1,188518e-013	11.09.2024 12:34:54	12,328	9,417040e-015	11.09.2024 12:34:54	12,407	5,100701e001
