Sourcefile	20241002 164720 XenonTPDPlat.qmp
Exporttime	02.10.2024 17:14:42

Start Time	02.10.2024 17:11:52
End Time	02.10.2024 17:14:25

		Xe-132			Xe-131			Xe-129			Temp voltage	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Temp [Kelvin]	
02.10.2024 17:11:52	0,000	7,834818e-015	02.10.2024 17:11:52	0,079	1,163607e-013	02.10.2024 17:11:52	0,159	2,277042e-014	02.10.2024 17:11:52	0,238	4,586505e001
02.10.2024 17:11:52	0,318	1,471097e-016	02.10.2024 17:11:52	0,413	-2,068157e-014	02.10.2024 17:11:52	0,498	-1,025629e-013	02.10.2024 17:11:52	0,577	4,580157e001
02.10.2024 17:11:52	0,656	-3,775485e-014	02.10.2024 17:11:52	0,735	-3,506378e-014	02.10.2024 17:11:53	0,815	8,764804e-015	02.10.2024 17:11:53	0,902	4,596027e001
02.10.2024 17:11:53	0,982	-1,440620e-016	02.10.2024 17:11:53	1,062	1,650092e-013	02.10.2024 17:11:53	1,142	1,029135e-013	02.10.2024 17:11:53	1,220	4,554765e001
02.10.2024 17:11:53	1,301	1,045293e-013	02.10.2024 17:11:53	1,385	3,253458e-012	02.10.2024 17:11:53	1,465	6,079297e-013	02.10.2024 17:11:53	1,543	4,580157e001
02.10.2024 17:11:53	1,623	3,620738e-015	02.10.2024 17:11:53	1,702	2,088145e-013	02.10.2024 17:11:53	1,783	-1,372436e-013	02.10.2024 17:11:54	1,863	4,586505e001
02.10.2024 17:11:54	1,943	8,084791e-014	02.10.2024 17:11:54	2,023	-5,610828e-014	02.10.2024 17:11:54	2,102	5,852399e-013	02.10.2024 17:11:54	2,182	4,605549e001
02.10.2024 17:11:54	2,262	8,916793e-015	02.10.2024 17:11:54	2,345	2,382679e-012	02.10.2024 17:11:54	2,425	-6,524843e-014	02.10.2024 17:11:54	2,512	4,599201e001
02.10.2024 17:11:54	2,593	-1,348849e-013	02.10.2024 17:11:54	2,675	2,377555e-012	02.10.2024 17:11:54	2,759	-1,362050e-013	02.10.2024 17:11:55	2,840	4,646812e001
02.10.2024 17:11:55	2,920	2,615279e-014	02.10.2024 17:11:55	3,000	2,682375e-012	02.10.2024 17:11:55	3,078	8,257387e-013	02.10.2024 17:11:55	3,157	4,611897e001
02.10.2024 17:11:55	3,237	1,454737e-013	02.10.2024 17:11:55	3,323	3,202413e-014	02.10.2024 17:11:55	3,403	1,128086e-012	02.10.2024 17:11:55	3,482	4,608724e001
