Sourcefile	20240910 122433 XenonTPDPlat.qmp
Exporttime	10.09.2024 12:27:32

Start Time	10.09.2024 12:24:40
End Time	10.09.2024 12:27:23

		Xe-132			Xe-131			Xe-129			Temp voltage	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Temp [Kelvin]	
10.09.2024 12:24:40	0,000	3,171562e-014	10.09.2024 12:24:40	0,079	5,773959e-014	10.09.2024 12:24:40	0,164	1,361406e-013	10.09.2024 12:24:40	0,245	4,643638e001
10.09.2024 12:24:40	0,323	2,136774e-013	10.09.2024 12:24:41	0,404	8,623004e-013	10.09.2024 12:24:41	0,482	4,692345e-014	10.09.2024 12:24:41	0,561	4,611897e001
10.09.2024 12:24:41	0,641	-6,083207e-015	10.09.2024 12:24:41	0,721	8,181083e-013	10.09.2024 12:24:41	0,806	-6,431205e-014	10.09.2024 12:24:41	0,887	4,592853e001
10.09.2024 12:24:41	0,966	2,072517e-014	10.09.2024 12:24:41	1,049	1,637531e-014	10.09.2024 12:24:41	1,128	1,725980e-014	10.09.2024 12:24:41	1,208	4,611897e001
10.09.2024 12:24:41	1,287	3,737029e-015	10.09.2024 12:24:42	1,374	-1,115691e-013	10.09.2024 12:24:42	1,454	8,193927e-014	10.09.2024 12:24:42	1,534	4,551590e001
10.09.2024 12:24:42	1,612	-6,375892e-016	10.09.2024 12:24:42	1,693	1,003568e-012	10.09.2024 12:24:42	1,773	2,946832e-014	10.09.2024 12:24:42	1,852	4,596027e001
10.09.2024 12:24:42	1,931	2,087808e-013	10.09.2024 12:24:42	2,011	1,473352e-013	10.09.2024 12:24:42	2,090	1,467037e-014	10.09.2024 12:24:42	2,170	4,615071e001
10.09.2024 12:24:42	2,250	-4,803748e-015	10.09.2024 12:24:42	2,337	-1,640340e-013	10.09.2024 12:24:43	2,421	-4,189568e-014	10.09.2024 12:24:43	2,501	4,602375e001
10.09.2024 12:24:43	2,579	2,356855e-014	10.09.2024 12:24:43	2,659	7,904772e-014	10.09.2024 12:24:43	2,738	-5,966272e-014	10.09.2024 12:24:43	2,816	4,611897e001
10.09.2024 12:24:43	2,896	-5,238372e-014	10.09.2024 12:24:43	2,976	6,543336e-014	10.09.2024 12:24:43	3,056	-4,437889e-014	10.09.2024 12:24:43	3,135	4,608724e001
